Place,County,Population,Population Density,Per capita income,Median household income,Median family income
Corte Madera,Marin,9478,2996.5,"$64,762 ","$113,279 ","$141,143 "
Costa Mesa,Orange,111635,7110.5,"$33,342 ","$66,491 ","$76,781 "
Cotati,Sonoma,7347,3908,"$32,834 ","$59,808 ","$75,461 "
Coto de Caza,Orange,14647,1897,"$70,990 ","$166,328 ","$172,654 "
Cottonwood,Shasta,4178,1805.5,"$17,268 ","$42,660 ","$44,450 "
Coulterville,Mariposa,227,53.9,"$28,431 ","$45,000 ",[7]
Country Club,San Joaquin,10018,5225.9,"$20,643 ","$43,323 ","$50,168 "
Courtland,Sacramento,515,286.1,"$42,765 ","$58,472 ","$57,266 "
Covelo,Mendocino,1444,203.5,"$17,585 ","$26,389 ","$23,553 "
Covina,Los Angeles,48429,6890.9,"$25,622 ","$64,496 ","$73,113 "
Cowan,Stanislaus,510,3269.2,"$11,454 ","$37,656 ","$25,833 "
Crescent City,Del Norte,7295,3716.3,"$12,430 ","$27,885 ","$43,554 "
Crescent Mills,Plumas,426,100.4,"$15,014 ","$31,655 ","$32,230 "
Cressey,Merced,322,183.2,"$22,093 ","$53,214 ","$53,214 "
Crest,San Diego,2393,366.4,"$35,347 ","$74,115 ","$79,632 "
Crestline,San Bernardino,9437,681.9,"$24,754 ","$47,175 ","$53,552 "
Creston,San Luis Obispo,61,108.2,"$58,821 ","$83,523 ",[7]
C-Road,Plumas,213,79.9,"$23,339 ","$78,796 ","$79,583 "
Crockett,Contra Costa,3151,2972.6,"$42,310 ","$81,667 ","$89,588 "
Cromberg,Plumas,172,19,"$48,815 ","$32,188 ","$163,030 "
Crowley Lake,Mono,707,251.9,"$40,119 ","$88,500 ","$93,611 "
Crows Landing,Stanislaus,194,61.2,"$13,302 ","$29,018 ","$31,563 "
Cudahy,Los Angeles,24073,20487.7,"$11,400 ","$37,759 ","$36,289 "
Culver City,Los Angeles,39353,7699.7,"$45,792 ","$79,292 ","$99,860 "
Cupertino,Santa Clara,59787,5285.7,"$55,867 ","$134,872 ","$158,053 "
Cutler,Tulare,4224,5234.2,"$6,456 ","$18,346 ","$17,629 "
Cutten,Humboldt,3117,2408.8,"$30,467 ","$55,080 ","$71,381 "
Cuyama,Santa Barbara,72,158.9,"$10,951 ","$27,188 ","$27,917 "
Cypress,Orange,48748,7373.8,"$33,693 ","$83,819 ","$92,166 "
Daly City,San Mateo,103897,13599.1,"$28,753 ","$74,489 ","$83,096 "
Dana Point,Orange,33861,5210.2,"$51,474 ","$84,404 ","$103,457 "
Danville,Contra Costa,42891,2372.7,"$65,783 ","$140,616 ","$157,842 "
Daphnedale Park,Modoc,20,15,[7],[7],[7]
Darwin,Inyo,18,13.4,"$24,089 ",[7],[7]
Davenport,Santa Cruz,303,106.9,"$33,563 ","$67,031 ","$78,393 "
Davis,Yolo,66093,6687.5,"$33,646 ","$57,454 ","$110,692 "
Day Valley,Santa Cruz,3869,209.1,"$39,039 ","$73,393 ","$85,438 "
Deer Park,Napa,1072,192.2,"$53,298 ","$97,266 ","$122,361 "
Del Aire,Los Angeles,10406,10262.3,"$31,248 ","$79,943 ","$88,997 "
Delano,Kern,52883,3697.3,"$10,455 ","$36,244 ","$36,684 "
Delft Colony,Tulare,164,2484.8,"$2,685 ","$8,456 ","$8,456 "
Delhi,Merced,9918,2825.6,"$15,121 ","$46,224 ","$48,077 "
Delleker,Plumas,798,288.5,"$20,945 ","$30,878 ","$66,250 "
Del Mar,San Diego,4242,2485.1,"$87,852 ","$103,457 ","$123,938 "
Del Monte Forest,Monterey,6439,800.5,"$48,338 ","$102,396 ","$126,250 "
Del Rey,Fresno,1489,1223.5,"$9,746 ","$31,222 ","$31,065 "
Del Rey Oaks,Monterey,1727,3597.9,"$41,181 ","$101,250 ","$120,417 "
Del Rio,Stanislaus,1769,970.4,"$50,082 ","$102,679 ","$117,730 "
Denair,Stanislaus,4892,2469.5,"$22,069 ","$63,136 ","$68,750 "
Derby Acres,Kern,324,90.5,"$26,230 ","$34,792 ","$62,813 "
Descanso,San Diego,1305,67.9,"$30,185 ","$59,115 ","$54,167 "
Desert Center,Riverside,208,6.8,"$19,180 ","$55,750 ","$56,500 "
Desert Edge,Riverside,4244,1871.3,"$19,756 ","$30,579 ","$43,950 "
Desert Hot Springs,Riverside,27678,916.5,"$14,466 ","$33,575 ","$34,850 "
Desert Palms,Riverside,6776,2536.9,"$46,954 ","$56,108 ","$82,035 "
Desert Shores,Imperial,1039,1503.6,"$11,407 ","$30,735 ","$36,111 "
Desert View Highlands,Los Angeles,2291,5206.8,"$19,362 ","$62,946 ","$70,650 "
Diablo,Contra Costa,969,714.1,"$113,989 ","$167,188 ",[7]
Diablo Grande,Stanislaus,1083,211.8,"$33,285 ","$92,880 ","$92,609 "
Diamond Bar,Los Angeles,56259,3781.1,"$34,539 ","$90,901 ","$95,500 "
Diamond Springs,El Dorado,12105,727.4,"$24,922 ","$52,483 ","$68,474 "
Dillon Beach,Marin,82,27.5,"$42,220 ","$44,417 ","$46,389 "
Dinuba,Tulare,22828,3528.3,"$12,838 ","$38,509 ","$37,478 "
Discovery Bay,Contra Costa,14315,2272.2,"$43,649 ","$112,063 ","$114,085 "
Dixon,Solano,18718,2626,"$26,501 ","$66,818 ","$71,994 "
Dixon Lane-Meadow Creek,Inyo,2447,728.3,"$27,392 ","$44,792 ","$72,394 "
Dobbins,Yuba,658,84.9,"$19,331 ","$35,469 ","$48,182 "
Dogtown,San Joaquin,2475,190.9,"$30,638 ","$68,281 ","$79,565 "
Dollar Point,Placer,1076,658.1,"$44,872 ","$68,892 ","$87,500 "
Dorrington,Calaveras,349,96.2,"$42,523 ","$81,477 ","$80,909 "
Dorris,Siskiyou,1115,1588.3,"$13,843 ","$30,179 ","$32,708 "
Dos Palos,Merced,5023,3723.5,"$13,218 ","$33,700 ","$34,171 "
Dos Palos Y,Merced,171,108.4,"$19,360 ","$17,708 ","$22,000 "
Douglas City,Trinity,670,26.8,"$22,331 ","$31,645 ","$52,000 "
Downey,Los Angeles,113082,9113.6,"$23,216 ","$60,374 ","$64,187 "
Downieville,Sierra,233,73.2,"$29,637 ","$54,196 ","$112,589 "
Doyle,Lassen,382,62.6,"$20,169 ","$21,950 ","$39,196 "
Drytown,Amador,148,40.1,"$25,704 ","$77,188 ","$107,700 "
Duarte,Los Angeles,21676,3240.1,"$26,421 ","$62,186 ","$72,440 "
Dublin,Alameda,49694,3262.3,"$44,679 ","$114,699 ","$128,737 "
Ducor,Tulare,646,1059,"$10,834 ","$28,036 ","$23,833 "
Dunnigan,Yolo,1017,194.4,"$27,670 ","$63,875 ","$74,828 "
Dunsmuir,Siskiyou,1482,923.9,"$20,503 ","$29,464 ","$38,571 "
Durham,Butte,5743,70.2,"$34,648 ","$69,323 ","$75,050 "
Dustin Acres,Kern,295,80.3,"$24,897 ","$48,269 ","$59,688 "
Dutch Flat,Placer,132,222.6,"$33,769 ","$54,000 ","$58,750 "
Eagleville,Modoc,70,72.2,"$19,651 ","$28,333 ","$52,083 "
Earlimart,Tulare,8310,3947.7,"$7,894 ","$24,968 ","$26,435 "
East Foothills,Santa Clara,6479,3094.1,"$49,726 ","$120,881 ","$122,969 "
East Hemet,Riverside,18188,3489,"$19,371 ","$45,374 ","$49,055 "
East Los Angeles,Los Angeles,127610,17128.9,"$12,905 ","$39,103 ","$41,577 "
East Nicolaus,Sutter,251,54.8,"$22,273 ","$42,566 ","$44,408 "
East Oakdale,Stanislaus,2901,611.8,"$40,010 ","$84,018 ","$95,938 "
Easton,Fresno,1991,661.2,"$26,678 ","$58,813 ","$63,917 "
East Orosi,Tulare,321,1294.4,"$7,465 ","$29,000 ","$31,375 "
East Palo Alto,San Mateo,28920,11540.3,"$18,527 ","$52,716 ","$53,094 "
East Pasadena,Los Angeles,6123,4642.2,"$45,380 ","$76,019 ","$87,273 "
East Porterville,Tulare,6585,2209.7,"$10,164 ","$31,900 ","$31,012 "
East Quincy,Plumas,2633,217.4,"$23,396 ","$51,045 ","$56,667 "
East Rancho Dominguez,Los Angeles,15343,18665.5,"$13,065 ","$44,964 ","$47,115 "
East Richmond Heights,Contra Costa,3501,6036.2,"$32,733 ","$68,185 ","$83,125 "
East San Gabriel,Los Angeles,15573,9982.7,"$33,792 ","$72,500 ","$90,219 "
East Shore,Plumas,203,171.6,"$48,613 ","$80,625 ","$152,083 "
East Sonora,Tuolumne,2168,875.6,"$28,074 ","$43,484 ","$52,500 "
East Tulare Villa,Tulare,951,1973,"$15,225 ","$45,446 ","$45,625 "
Eastvale,Riverside,55298,4366.9,"$28,687 ","$109,783 ","$109,717 "
East Whittier,Los Angeles,10440,9578,"$27,809 ","$66,377 ","$73,207 "
Edgewood,Siskiyou,30,29.5,"$15,243 ","$34,375 ","$35,313 "
Edmundson Acres,Kern,274,4151.5,"$9,448 ","$35,000 ","$34,375 "
Edna,San Luis Obispo,174,142.7,"$31,055 ","$75,294 ","$75,417 "
Edwards AFB,Kern,2503,146.1,"$20,554 ","$63,162 ","$64,265 "
El Cajon,San Diego,101582,7016.3,"$20,430 ","$45,957 ","$50,257 "
El Centro,Imperial,43268,3903.6,"$18,463 ","$41,677 ","$47,303 "
El Cerrito,Contra Costa,24136,6599.9,"$45,190 ","$88,380 ","$104,524 "
El Cerrito,Riverside,5551,2174.3,"$22,752 ","$60,987 ","$61,467 "
El Dorado Hills,El Dorado,43862,905.3,"$46,853 ","$118,306 ","$129,292 "
Eldridge,Sonoma,1333,2044.5,"$29,956 ","$54,355 ","$61,786 "
El Granada,San Mateo,5377,1114.9,"$57,758 ","$110,000 ","$158,309 "
Elizabeth Lake,Los Angeles,1603,256.6,"$30,157 ","$56,806 ","$66,500 "
Elk Creek,Glenn,136,93.9,"$23,439 ","$42,500 ","$44,464 "
Elk Grove,Sacramento,158455,3755.5,"$29,695 ","$79,051 ","$84,732 "
Elkhorn,Monterey,1342,279.1,"$33,900 ","$84,758 ","$103,750 "
Elmira,Solano,242,455.7,"$24,259 ","$71,793 ","$70,870 "
El Monte,Los Angeles,115243,12052.2,"$15,010 ","$38,906 ","$40,727 "
El Nido,Merced,412,125.2,"$29,007 ","$30,956 ","$33,375 "
El Paso de Robles (Paso Robles),San Luis Obispo,30522,1594.1,"$28,358 ","$59,978 ","$66,880 "
El Portal,Mariposa,601,584.1,"$41,825 ","$102,872 ","$103,429 "
El Rancho,Tulare,16,222.2,[7],[7],[7]
El Rio,Ventura,6785,3352.3,"$17,696 ","$59,179 ","$67,039 "
El Segundo,Los Angeles,16839,3082.4,"$42,575 ","$84,004 ","$103,205 "
El Sobrante,Contra Costa,13122,4745.8,"$30,822 ","$60,732 ","$66,806 "
El Sobrante,Riverside,14855,2059.5,"$30,822 ","$99,080 ","$99,126 "
El Verano,Sonoma,4338,3798.6,"$25,804 ","$50,811 ","$43,250 "
Elverta,Sacramento,5547,627.3,"$23,017 ","$60,718 ","$61,516 "
Emerald Lake Hills,San Mateo,4519,3781.6,"$80,009 ","$166,063 ","$188,654 "
Emeryville,Alameda,10497,8194.4,"$53,155 ","$69,329 ","$84,688 "
Empire,Stanislaus,4296,2748.6,"$12,446 ","$31,446 ","$34,128 "
Encinitas,San Diego,61008,3243,"$48,067 ","$92,564 ","$111,696 "
Escalon,San Joaquin,7252,3151.7,"$26,249 ","$57,971 ","$72,694 "
Escondido,San Diego,147603,3982.9,"$21,684 ","$49,409 ","$53,983 "
Esparto,Yolo,3229,701.8,"$19,565 ","$64,844 ","$66,652 "
Etna,Siskiyou,750,986.8,"$14,168 ","$26,711 ","$28,438 "
Eucalyptus Hills,San Diego,5352,1124.8,"$31,768 ","$71,861 ","$78,313 "
Eureka,Humboldt,27039,2881.4,"$21,151 ","$38,007 ","$50,807 "
Exeter,Tulare,10468,4250.1,"$19,357 ","$41,341 ","$46,295 "
Fairbanks Ranch,San Diego,3245,637,"$55,172 ","$119,228 ","$133,707 "
Fairfax,Marin,7546,3423.8,"$56,506 ","$93,354 ","$132,545 "
Fairfield,Solano,107983,2888.2,"$27,110 ","$66,190 ","$75,091 "
Fairmead,Madera,1983,256.3,"$10,861 ","$31,058 ","$37,550 "
Fair Oaks,Sacramento,31256,2895.1,"$40,467 ","$73,295 ","$91,885 "
Fairview,Alameda,9852,3582.5,"$36,521 ","$90,365 ","$100,551 "
Fallbrook,San Diego,31435,1793.7,"$25,565 ","$51,765 ","$56,025 "
Fall River Mills,Shasta,712,274.6,"$17,021 ","$32,824 ","$30,893 "
Farmersville,Tulare,10675,4727.6,"$11,102 ","$32,455 ","$34,538 "
Farmington,San Joaquin,124,48.8,"$55,222 ","$19,886 ","$130,357 "
Fellows,Kern,98,149.4,"$24,036 ","$63,250 ","$63,500 "
Felton,Santa Cruz,3957,869.3,"$41,368 ","$75,550 ","$95,000 "
Ferndale,Humboldt,1456,1417.7,"$37,233 ","$45,948 ","$61,058 "
Fetters Hot Springs-Agua Caliente,Sonoma,4866,3330.6,"$28,459 ","$58,232 ","$60,761 "
Fiddletown,Amador,86,18.6,"$23,801 ","$42,500 ",[7]
Fieldbrook,Humboldt,812,77.6,"$30,480 ","$62,750 ","$82,292 "
Fields Landing,Humboldt,130,469.3,"$25,299 ","$16,537 ",[7]
Fillmore,Ventura,15203,4519.3,"$19,205 ","$54,519 ","$60,142 "
Firebaugh,Fresno,7935,2257.5,"$12,436 ","$31,312 ","$33,518 "
Fish Camp,Mariposa,44,48.7,"$15,666 ",[7],[7]
Florence-Graham,Los Angeles,62815,17546.1,"$10,957 ","$33,992 ","$33,360 "
Florin,Sacramento,50791,5834.7,"$16,358 ","$40,183 ","$44,694 "
Floriston,Nevada,58,61.1,"$36,800 ","$56,607 ","$59,375 "
Flournoy,Tehama,143,24.7,"$18,901 ","$58,500 ","$59,250 "
Folsom,Sacramento,73334,3341.4,"$38,472 ","$100,163 ","$116,527 "
Fontana,San Bernardino,201355,4745.6,"$19,685 ","$64,995 ","$66,795 "
Foothill Farms,Sacramento,33024,7862.9,"$19,658 ","$44,590 ","$45,764 "
Forbestown,Butte,450,71.7,"$20,552 ","$63,676 ","$64,853 "
Ford City,Kern,4154,2706.2,"$14,873 ","$32,134 ","$38,448 "
Foresthill,Placer,1345,120.2,"$26,123 ","$34,821 ","$75,820 "
Forest Meadows,Calaveras,1674,296,"$40,314 ","$70,484 ","$85,114 "
Forest Ranch,Butte,1064,76.4,"$30,503 ","$41,649 ","$48,313 "
Forestville,Sonoma,3461,658.4,"$28,818 ","$55,740 ","$66,136 "
Fort Bidwell,Modoc,161,50.3,"$16,952 ","$23,333 ","$29,167 "
Fort Bragg,Mendocino,7274,2646.1,"$20,585 ","$34,057 ","$54,615 "
Fort Irwin,San Bernardino,9191,1319.6,"$19,077 ","$49,928 ","$51,134 "
Fort Jones,Siskiyou,848,1408.6,"$16,945 ","$39,500 ","$51,250 "
Fortuna,Humboldt,11863,2448.5,"$21,626 ","$42,450 ","$51,213 "
Fort Washington,Fresno,430,3467.7,"$64,517 ","$92,566 ","$92,566 "
Foster City,San Mateo,31809,8379.6,"$55,318 ","$114,651 ","$130,566 "
Fountain Valley,Orange,56440,6221.3,"$34,382 ","$82,532 ","$93,322 "
Fowler,Fresno,5908,2324.2,"$19,298 ","$47,731 ","$62,070 "
Franklin,Merced,6840,3403,"$15,950 ","$34,671 ","$41,273 "
Franklin,Sacramento,33,15.7,"$23,882 ","$24,531 ",[7]
Frazier Park,Kern,2730,539.1,"$20,707 ","$43,077 ","$56,336 "
Freedom,Santa Cruz,3205,2903.1,"$18,078 ","$51,492 ","$52,885 "
Freeport,Sacramento,68,1545.5,"$25,197 ","$46,250 ",[7]
Fremont,Alameda,221654,2861.3,"$40,815 ","$103,591 ","$112,347 "
French Camp,San Joaquin,4155,1322.4,"$10,460 ","$35,833 ","$46,350 "
French Gulch,Shasta,441,35.8,"$14,994 ","$28,750 ","$27,833 "
French Valley,Riverside,26753,2456.4,"$26,621 ","$88,699 ","$88,614 "
Fresno,Fresno,506132,4470.2,"$19,226 ","$41,455 ","$45,554 "
Friant,Fresno,263,210.2,"$20,332 ","$18,884 ","$17,000 "
Fruitdale,Santa Clara,1089,4078.7,"$43,850 ","$73,250 ","$103,333 "
Fruitridge Pocket,Sacramento,5802,9542.8,"$10,884 ","$32,853 ","$34,948 "
Fuller Acres,Kern,924,1225.5,"$10,343 ","$33,750 ","$28,472 "
Fullerton,Orange,137945,6149.2,"$29,733 ","$65,909 ","$76,187 "
Fulton,Sonoma,441,226.3,"$34,310 ","$65,750 ","$116,146 "
Furnace Creek,Inyo,187,6,"$29,232 ","$33,000 ","$53,359 "
Galt,Sacramento,24280,4050,"$22,609 ","$59,375 ","$62,452 "
Garberville,Humboldt,1061,395.9,"$18,239 ","$29,694 ","$37,127 "
Gardena,Los Angeles,59682,10238.8,"$23,230 ","$47,856 ","$54,331 "
Garden Acres,San Joaquin,11172,4315.2,"$13,032 ","$38,940 ","$39,460 "
Garden Farms,San Luis Obispo,341,312,"$53,338 ","$102,344 ","$100,156 "
Garden Grove,Orange,173853,9681.6,"$21,241 ","$59,360 ","$62,562 "
Garey,Santa Barbara,74,58.5,"$17,823 ","$62,500 ","$46,667 "
Garnet,Riverside,6380,809.2,"$13,804 ","$37,910 ","$39,785 "
Gasquet,Del Norte,500,105.1,"$22,000 ","$35,547 ","$38,750 "
Gazelle,Siskiyou,76,131,"$12,700 ","$21,071 ","$30,833 "
Georgetown,El Dorado,2458,162.5,"$23,926 ","$46,136 ","$78,487 "
Gerber,Tehama,1201,1301.2,"$14,062 ","$31,781 ","$32,232 "
Geyserville,Sonoma,879,194.7,"$22,451 ","$49,271 ","$49,931 "
Gilroy,Santa Clara,50776,3145.6,"$29,559 ","$81,056 ","$86,098 "
Glendale,Los Angeles,195380,6417.7,"$29,264 ","$52,451 ","$61,806 "
Glendora,Los Angeles,50855,2621.5,"$32,090 ","$74,169 ","$82,961 "
Glen Ellen,Sonoma,614,292.1,"$43,374 ","$48,750 ","$49,167 "
Golden Hills,Kern,8398,685.6,"$26,782 ","$64,425 ","$68,682 "
Gold Mountain,Plumas,22,3.6,[7],[7],[7]
Gold River,Sacramento,7658,2904.1,"$57,795 ","$102,500 ","$115,926 "
Goleta,Santa Barbara,30333,3863.6,"$33,469 ","$75,766 ","$92,391 "
Gonzales,Monterey,8336,4348.5,"$19,466 ","$51,178 ","$43,370 "
Good Hope,Riverside,8911,793.3,"$11,960 ","$34,801 ","$39,135 "
Goodyears Bar,Sierra,23,11.2,[7],[7],[7]
Goshen,Tulare,3832,2155.2,"$10,421 ","$38,162 ","$34,211 "
Graeagle,Plumas,546,49.3,"$36,458 ","$54,688 ","$68,625 "
Grand Terrace,San Bernardino,12252,3498.6,"$29,572 ","$64,140 ","$78,763 "
Grangeville,Kings,607,948.4,"$30,119 ","$50,450 ","$67,125 "
Granite Bay,Placer,22646,1051.9,"$55,636 ","$118,063 ","$135,583 "
Granite Hills,San Diego,3438,1230.9,"$48,827 ","$111,684 ","$126,618 "
Graniteville,Nevada,0,0,[7],[7],[7]
Grass Valley,Nevada,12861,2711.6,"$23,005 ","$33,325 ","$40,591 "
Graton,Sonoma,1626,1029.8,"$26,548 ","$37,927 ","$56,250 "
Grayson,Stanislaus,888,348.4,"$14,153 ","$28,068 ","$35,096 "
Greeley Hill,Mariposa,566,26.9,"$21,738 ","$30,766 ","$58,646 "
Greenacres,Kern,4949,2587,"$30,071 ","$64,052 ","$69,561 "
Green Acres,Riverside,2330,1664.3,"$14,428 ","$55,417 ","$55,444 "
Greenfield,Kern,3974,2746.4,"$21,522 ","$51,410 ","$50,625 "
Greenfield,Monterey,16715,7829,"$13,567 ","$52,374 ","$49,544 "
Greenhorn,Plumas,182,27.1,"$52,332 ","$58,023 ","$48,875 "
Green Valley,Los Angeles,1022,79.8,"$46,357 ","$93,313 ","$129,531 "
Green Valley,Solano,1217,146.5,"$72,511 ","$77,946 ","$134,766 "
Greenview,Siskiyou,183,141.3,"$8,551 ","$14,193 ","$14,193 "
Greenville,Plumas,950,118.9,"$24,222 ","$30,766 ","$31,944 "
Grenada,Siskiyou,421,815.9,"$19,725 ","$30,750 ","$36,250 "
Gridley,Butte,6566,3172,"$16,870 ","$42,542 ","$47,438 "
Grimes,Colusa,419,185.3,"$14,078 ","$40,947 ","$29,750 "
Grizzly Flats,El Dorado,771,116.3,"$20,361 ","$56,250 ","$67,981 "
Groveland,Tuolumne,725,75.8,"$16,038 ","$31,932 ","$33,735 "
Grover Beach,San Luis Obispo,13337,5773.6,"$26,781 ","$49,418 ","$54,955 "
Guadalupe,Santa Barbara,7160,5469.8,"$14,903 ","$45,456 ","$46,420 "
Guerneville,Sonoma,3775,388.8,"$34,303 ","$42,712 ","$58,269 "
Guinda,Yolo,599,206.1,"$13,122 ","$77,596 ","$78,317 "
Gustine,Merced,5610,3617,"$20,620 ","$38,173 ","$47,646 "
Hacienda Heights,Los Angeles,55179,4937.7,"$28,614 ","$76,435 ","$81,135 "
Half Moon Bay,San Mateo,11803,1837.6,"$54,270 ","$103,239 ","$108,700 "
Hamilton Branch,Plumas,634,584.3,"$29,462 ","$60,268 ","$63,750 "
Hamilton City,Glenn,1718,5506.4,"$13,338 ","$32,774 ","$33,547 "
Hanford,Kings,54523,3244.6,"$22,307 ","$53,543 ","$59,543 "
Happy Camp,Siskiyou,1153,95.2,"$15,357 ","$25,625 ","$31,458 "
Harbison Canyon,San Diego,4577,454.6,"$29,795 ","$81,913 ","$83,098 "
Hardwick,Kings,184,1323.7,"$12,236 ","$18,250 ","$19,000 "
Hartland,Tulare,0,0,[7],[7],[7]
Hartley,Solano,2458,379.6,"$42,008 ","$97,100 ","$103,060 "
Hasley Canyon,Los Angeles,1296,225.8,"$41,556 ","$100,972 ","$96,417 "
Hat Creek,Shasta,215,4.3,"$22,517 ","$36,027 ","$48,558 "
Hawaiian Gardens,Los Angeles,14432,15223.6,"$13,557 ","$39,073 ","$38,246 "
Hawthorne,Los Angeles,85889,14124.2,"$20,445 ","$44,384 ","$47,091 "
Hayfork,Trinity,2372,32.9,"$18,810 ","$28,287 ","$46,108 "
Hayward,Alameda,149596,3293.6,"$25,770 ","$62,691 ","$69,415 "
Healdsburg,Sonoma,11466,2572.6,"$32,461 ","$58,176 ","$65,375 "
Heber,Imperial,4256,2869.9,"$11,565 ","$35,153 ","$36,097 "
Hemet,Riverside,81203,2916,"$18,284 ","$33,932 ","$41,824 "
Herald,Sacramento,1221,155,"$36,154 ","$92,045 ","$92,159 "
Hercules,Contra Costa,24596,3835.9,"$37,978 ","$100,267 ","$113,447 "
Herlong,Lassen,1702,1045.5,"$6,846 ","$50,781 ","$44,167 "
Hermosa Beach,Los Angeles,19725,13822.7,"$74,730 ","$105,029 ","$167,750 "
Hesperia,San Bernardino,91757,1255.3,"$16,584 ","$44,472 ","$50,027 "
Hickman,Stanislaus,479,445.2,"$20,190 ","$48,000 ","$57,500 "
Hidden Hills,Los Angeles,1749,1035.5,"$126,620 ","$245,694 ",[7]
Hidden Meadows,San Diego,3283,498.7,"$38,942 ","$61,234 ","$81,875 "
Hidden Valley Lake,Lake,6168,633.7,"$24,252 ","$65,706 ","$67,382 "
Highgrove,Riverside,4067,1263.4,"$16,332 ","$41,087 ","$46,071 "
Highland,San Bernardino,54032,2880.9,"$21,578 ","$53,385 ","$57,517 "
Highlands-Baywood Park,San Mateo,4298,2373.3,"$59,656 ","$135,345 ","$162,235 "
Hillsborough,San Mateo,11148,1801,"$127,868 ",[7],[7]
Hilmar-Irwin,Merced,5266,1340.6,"$27,961 ","$52,775 ","$55,500 "
Hiouchi,Del Norte,413,712.1,"$26,170 ","$46,083 ","$71,406 "
Hollister,San Benito,36067,4924.5,"$22,516 ","$66,045 ","$66,363 "
Holtville,Imperial,6067,5284.8,"$14,247 ","$29,628 ","$32,240 "
Home Garden,Kings,1787,4024.8,"$11,708 ","$32,976 ","$33,631 "
Home Gardens,Riverside,11701,7519.9,"$15,198 ","$52,704 ","$51,076 "
Homeland,Riverside,5921,1386.7,"$16,804 ","$36,516 ","$44,667 "
Homestead Valley,San Bernardino,3366,99.3,"$15,712 ","$30,527 ","$31,844 "
Homewood Canyon,Inyo,20,2,[7],[7],[7]
Honcut,Butte,145,34.2,"$24,944 ","$70,064 ",[7]
Hood,Sacramento,311,987.3,"$20,970 ","$75,556 ","$78,385 "
